SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,59 Virginia Ave,Fort Lee,NJ,07024,658000,4,3.5,Fort Lee,,5001,,7,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/59-Virginia-Ave-07024/home/35735280,NJMLS,20035656,N,Y,40.837707,-73.9756886
MLS Listing,,Condo/Co-op,4 Horizon Rd #1216,Fort Lee,NJ,07024,105000,1,1.0,Fort Lee,,,,7,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/4-Horizon-Rd-07024/unit-1216/home/172980116,NJMLS,20035655,N,Y,40.8429285,-73.9717539
MLS Listing,,Condo/Co-op,224D Washington Ave Unit 224D,Fort Lee,NJ,07024,388000,2,2.0,Fort Lee,892,,,7,435,,Active,,,http://www.redfin.com/NJ/Fort-Lee/224D-Washington-Ave-07024/unit-224D/home/172979194,NJMLS,20035623,N,Y,40.8646638,-73.9630317
MLS Listing,,Condo/Co-op,100 Old Palisade Rd #3210,Fort Lee,NJ,07024,568888,2,2.5,Fort Lee,1452,,,8,392,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-3210/home/35667626,NJMLS,20035461,N,Y,40.8481829,-73.9656209
MLS Listing,,Townhouse,1531 13th St,Fort Lee,NJ,07024,825000,3,3.0,Fort Lee,2133,,,8,387,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1531-13th-St-07024/home/52351889,NJMLS,20035443,N,Y,40.8504416,-73.9786641
MLS Listing,,Townhouse,255 Village Circle Dr,Fort Lee,NJ,07024,469000,2,2.5,Fort Lee,1364,,,9,344,,Active,,,http://www.redfin.com/NJ/Fort-Lee/255-Village-Cir-Dr-07024/unit-2202/home/35735650,NJMLS,20035400,N,Y,40.8529164,-73.9835042
MLS Listing,,Condo/Co-op,1600 Parker Ave Unit 9B,Fort Lee,NJ,07024,330000,2,2.0,Fort Lee,1558,,,10,212,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1600-Parker-Ave-07024/unit-9B/home/172938268,NJMLS,20035164,N,Y,40.8478531,-73.9684479
MLS Listing,,Condo/Co-op,2100 Linwood Ave Unit 21M,Fort Lee,NJ,07024,239900,2,2.0,Fort Lee,,,,10,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2100-Linwood-Ave-07024/unit-21M/home/59915225,NJMLS,20035158,N,Y,40.8551704,-73.972764
MLS Listing,,Condo/Co-op,6 Horizon Rd #1807,Fort Lee,NJ,07024,156500,1,1.5,Fort Lee,,,,10,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/6-Horizon-Rd-07024/unit-1807/home/172931009,NJMLS,20035110,N,Y,40.8407802,-73.9731773
MLS Listing,,Condo/Co-op,100 Old Palisade Rd #3301,Fort Lee,NJ,07024,349000,1,1.0,Fort Lee,870,,,10,401,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-3301/home/35667633,NJMLS,20035075,N,Y,40.8481198,-73.9655671
MLS Listing,,Condo/Co-op,5 Horizon Rd Unit 1407/5,Fort Lee,NJ,07024,555000,3,2.5,Fort Lee,2300,,,10,241,,Active,,,http://www.redfin.com/NJ/Fort-Lee/5-Horizon-Rd-07024/unit-14075/home/62340659,NJMLS,20035062,N,Y,40.8398874,-73.9731314
MLS Listing,,Condo/Co-op,2000 Linwood Ave Unit 19F,Fort Lee,NJ,07024,299999,1,1.0,Fort Lee,,,,10,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2000-Linwood-Ave-07024/unit-19F/home/144018364,NJMLS,20035016,N,Y,40.8539851,-73.9739119
MLS Listing,,Condo/Co-op,100 Old Palisade Rd #3216,Fort Lee,NJ,07024,335000,1,1.0,Fort Lee,,,,10,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-3216/home/35667624,NJMLS,20035015,N,Y,40.8481298,-73.9656285
MLS Listing,,Condo/Co-op,100 Old Palisade Rd #2711,Fort Lee,NJ,07024,459000,2,2.0,Fort Lee,,,,11,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-2711/home/35667927,NJMLS,20034951,N,Y,40.8480473,-73.9658324
MLS Listing,,Condo/Co-op,1600 Parker Ave Unit 31H,Fort Lee,NJ,07024,325000,2,2.0,Fort Lee,,,,11,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1600-Parker-Ave-07024/unit-31H/home/170603516,NJMLS,20034948,N,Y,40.8478531,-73.9684479
MLS Listing,,Condo/Co-op,1 Horizon Rd #621,Fort Lee,NJ,07024,68000,1,1.0,Fort Lee,843,,,11,81,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1-Horizon-Rd-07024/unit-621/home/172909363,NJMLS,20034893,N,Y,40.8379618,-73.9736823
MLS Listing,,Condo/Co-op,216 C Washington Ave,Fort Lee,NJ,07024,425000,2,2.0,Fort Lee,1228,,,11,346,,Active,,,http://www.redfin.com/NJ/Fort-Lee/216C-Washington-Ave-07024/home/35739117,NJMLS,20034886,N,Y,40.8645264,-73.9628004
MLS Listing,,Condo/Co-op,420 Fairview Ave Unit 1G,Fort Lee,NJ,07024,145000,1,1.0,Fort Lee,,,,11,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/420-Fairview-Ave-07024/unit-1G/home/172392252,NJMLS,20034882,N,Y,40.8637984,-73.9691567
MLS Listing,,Single Family Residential,1078 Edgewood Ln,Fort Lee,NJ,07024,738000,3,3.0,Fort Lee,,5702,,12,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1078-Edgewood-Ln-07024/home/35733670,NJMLS,20034754,N,Y,40.8352987,-73.9821995
MLS Listing,,Condo/Co-op,218B Washington Ave Unit 218 B,Fort Lee,NJ,07024,429000,2,2.0,Fort Lee,968,,,13,443,,Active,,,http://www.redfin.com/NJ/Fort-Lee/218B-Washington-Ave-07024/unit-218-B/home/172870096,NJMLS,20034742,N,Y,40.8645607,-73.9628582
MLS Listing,,Condo/Co-op,411 Park Pl Unit 5J,Fort Lee,NJ,07024,132000,0,1.0,Fort Lee,,,,14,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/411-Park-Pl-07024/unit-5J/home/172848351,NJMLS,20034661,N,Y,40.8626543,-73.968488
MLS Listing,,Single Family Residential,1086 Arcadian Way,Fort Lee,NJ,07024,1888888,5,5.5,Fort Lee,,13922,,14,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1086-Arcadian-Way-07024/home/35667228,NJMLS,20034633,N,Y,40.8329773,-73.9750827
MLS Listing,,Single Family Residential,1624A Federspiel St,Fort Lee,NJ,07024,659900,3,2.5,Fort Lee,,3119,,14,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1624A-Federspiel-St-07024/unit-624A/home/35901900,NJMLS,20034632,N,Y,40.8490835,-73.9664331
MLS Listing,,Single Family Residential,1624 FEDERSPIEL St,Fort Lee Boro,NJ,07024-6906,659900,3,2.5,Fort Lee Boro,3119,3049,1999,14,212,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1624-Federspiel-St-07024/home/172841931,GSMLS,3658220,N,Y,40.8490307,-73.9664159
MLS Listing,,Condo/Co-op,2100 Linwood Ave Unit 12U,Fort Lee,NJ,07024,245000,2,2.0,Fort Lee,1200,,,14,204,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2100-Linwood-Ave-07024/unit-12U/home/172836050,NJMLS,20034558,N,Y,40.8551704,-73.972764
MLS Listing,,Condo/Co-op,2185 Lemoine Ave Unit 4M,Fort Lee,NJ,07024,335000,4,3.0,Fort Lee,2000,,,14,168,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2185-Lemoine-Ave-07024/unit-4M/home/172831764,NJMLS,20034499,N,Y,40.8574358,-73.966749
MLS Listing,,Condo/Co-op,100 Old Palisade Rd #1914,Fort Lee,NJ,07024,335000,1,1.0,Fort Lee,857,,,14,391,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-1914/home/35667799,NJMLS,20034495,N,Y,40.8480431,-73.9658398
MLS Listing,,Condo/Co-op,100 Old Palisade Rd #1602,Fort Lee,NJ,07024,469000,2,2.0,Fort Lee,,,,14,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-1602/home/35667872,NJMLS,20034461,N,Y,40.8481496,-73.9659615
MLS Listing,,Multi-Family (2-4 Unit),419 Stillwell Ave,Fort Lee,NJ,07024,1695000,6,7.0,Fort Lee,,5830,,15,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/419-Stillwell-Ave-07024/home/35736345,NJMLS,20034392,N,Y,40.8477071,-73.9792151
MLS Listing,,Townhouse,419 Stillwell Ave Unit A,Fort Lee,NJ,07024,845000,3,3.5,Fort Lee,,,,15,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/419-Stillwell-Ave-07024/unit-A/home/167228181,NJMLS,20034385,N,Y,40.8477071,-73.9792151
MLS Listing,,Condo/Co-op,800 PALISADE AVE 22C,Fort Lee Boro,NJ,07024-4107,919000,3,3.5,Buckingham Tower,3386,82328,1987,15,271,2600,Active,,,http://www.redfin.com/NJ/Fort-Lee/800-Palisade-Ave-07024/unit-22C/home/35733953,GSMLS,3657886,N,Y,40.8297882,-73.9792678
